bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
stable,sim_deg,0.05,0.3,1,-1.0,5,5,True,False,False,0.1551,0.0188,0.1611,0.0162,0.1611,0.0162,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.0884,0.6815,0.1405,0.0000,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1312,0.1462,0.1478,0.1640,0.1865,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.05.log
stable,sim_ood,0.05,0.3,-1,0.5,5,5,True,False,False,0.1628,0.0310,0.1745,0.0226,0.1745,0.0226,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.0948,0.6894,0.1687,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.1873,0.1790,0.1159,0.1952,0.1366,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.05.log
stable,all3,0.1,0.3,1,0.5,5,5,True,False,False,0.1141,0.0150,0.1213,0.0051,0.1213,0.0051,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1176,0.6455,0.1751,0.1922,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1138,0.1233,0.1279,0.0855,0.1200,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.1.log
stable,deg_ood,0.1,-1.0,1,0.5,5,5,True,False,False,0.1359,0.0270,0.1437,0.0246,0.1437,0.0246,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.0650,0.6907,0.2419,0.1922,0.8623,0.3969,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1752,0.1304,0.1047,0.1578,0.1113,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.1.log
stable,sim_deg,0.1,0.3,1,-1.0,5,5,True,False,False,0.1136,0.0148,0.1190,0.0114,0.1190,0.0114,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1182,0.6398,0.1567,0.0000,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0922,0.1055,0.1125,0.1358,0.1221,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.1.log
stable,sim_ood,0.1,0.3,-1,0.5,5,5,True,False,False,0.1331,0.0200,0.1410,0.0137,0.1410,0.0137,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1136,0.6454,0.1735,0.1922,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1262,0.1337,0.1412,0.1628,0.1013,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.1.log
stable,all3,0.15,0.3,1,0.5,5,5,True,False,False,0.1154,0.0141,0.1198,0.0124,0.1198,0.0124,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.1057,0.6268,0.2208,0.2639,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.1109,0.0980,0.1221,0.1391,0.1071,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.15.log
stable,deg_ood,0.15,-1.0,1,0.5,5,5,True,False,False,0.1065,0.0168,0.1132,0.0113,0.1132,0.0113,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.0522,0.6862,0.2947,0.2639,0.8478,0.4791,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.1221,0.1267,0.0797,0.1017,0.1022,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.15.log
stable,sim_deg,0.15,0.3,1,-1.0,5,5,True,False,False,0.1128,0.0193,0.1202,0.0137,0.1202,0.0137,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.1470,0.6208,0.2079,0.0000,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1121,0.1071,0.0831,0.1188,0.1429,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.15.log
stable,sim_ood,0.15,0.3,-1,0.5,5,5,True,False,False,0.1077,0.0129,0.1121,0.0106,0.1121,0.0106,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.1046,0.6234,0.2152,0.2639,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0955,0.1146,0.1134,0.1250,0.0901,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.15.log
stable,all3,0.2,0.3,1,0.5,5,5,True,False,False,0.0954,0.0099,0.0991,0.0073,0.0991,0.0073,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0959,0.6505,0.3126,0.3230,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0959,0.0930,0.0959,0.0806,0.1117,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.2.log
stable,deg_ood,0.2,-1.0,1,0.5,5,5,True,False,False,0.1100,0.0144,0.1164,0.0077,0.1164,0.0077,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0602,0.6817,0.3423,0.3230,0.8410,0.5361,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0847,0.1063,0.1184,0.1275,0.1134,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.2.log
stable,sim_deg,0.2,0.3,1,-1.0,5,5,True,False,False,0.1198,0.0112,0.1251,0.0037,0.1251,0.0037,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.1071,0.6425,0.3158,0.0000,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1200,0.1246,0.0984,0.1304,0.1254,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.2.log
stable,sim_ood,0.2,0.3,-1,0.5,5,5,True,False,False,0.1031,0.0094,0.1062,0.0078,0.1062,0.0078,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0844,0.6459,0.3078,0.3230,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0905,0.0976,0.1138,0.0993,0.1142,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.2.log
stable,all3,0.25,0.3,1,0.5,5,5,True,False,False,0.0878,0.0151,0.0923,0.0136,0.0923,0.0136,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.0913,0.6485,0.3452,0.3730,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0698,0.1063,0.1038,0.0860,0.0731,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.25.log
stable,deg_ood,0.25,-1.0,1,0.5,5,5,True,False,False,0.0790,0.0290,0.0909,0.0184,0.0909,0.0184,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.0835,0.6606,0.3740,0.3730,0.8397,0.5848,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0311,0.0826,0.0764,0.0822,0.1225,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.25.log
stable,sim_deg,0.25,0.3,1,-1.0,5,5,True,False,False,0.0923,0.0091,0.0956,0.0069,0.0956,0.0069,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.1740,0.6585,0.3460,0.0000,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0947,0.0876,0.0934,0.0789,0.1067,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.25.log
stable,sim_ood,0.25,0.3,-1,0.5,5,5,True,False,False,0.0914,0.0126,0.0953,0.0109,0.0953,0.0109,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.0892,0.6525,0.3496,0.3730,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0756,0.0943,0.0822,0.0922,0.1125,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.25.log
