bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
stable,all3,0.15,0.3,1,0.5,5,5,True,True,False,0.0827,0.0201,0.0872,0.0201,0.0872,0.0201,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0959,0.1159,0.0648,0.0718,0.0652,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.15.log
stable,deg_ood,0.15,-1.0,1,0.5,5,5,True,True,False,0.1072,0.0115,0.1118,0.0077,0.1118,0.0077,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.1233,0.1096,0.1125,0.1017,0.0889,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.15.log
stable,sim_deg,0.15,0.3,1,-1.0,5,5,True,True,False,0.1048,0.0163,0.1104,0.0133,0.1104,0.0133,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1005,0.1134,0.0826,0.0968,0.1308,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.15.log
stable,sim_ood,0.15,0.3,-1,0.5,5,5,True,True,False,0.1031,0.0036,0.1038,0.0037,0.1038,0.0037,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.1005,0.1001,0.1088,0.1001,0.1059,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.15.log
stable,all3,0.2,0.3,1,0.5,5,5,True,True,False,0.0994,0.0175,0.1038,0.0169,0.1038,0.0169,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0851,0.0818,0.1138,0.1262,0.0901,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.2.log
stable,deg_ood,0.2,-1.0,1,0.5,5,5,True,True,False,0.0856,0.0187,0.0924,0.0145,0.0924,0.0145,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0843,0.0963,0.0752,0.0586,0.1138,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.2.log
stable,sim_deg,0.2,0.3,1,-1.0,5,5,True,True,False,0.1081,0.0175,0.1133,0.0159,0.1133,0.0159,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0876,0.1242,0.0934,0.1329,0.1026,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.2.log
stable,sim_ood,0.2,0.3,-1,0.5,5,5,True,True,False,0.0965,0.0110,0.1006,0.0082,0.1006,0.0082,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0868,0.1034,0.0801,0.1042,0.1080,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.2.log
stable,all3,0.25,0.3,1,0.5,5,5,True,True,False,0.0968,0.0131,0.1007,0.0117,0.1007,0.0117,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0810,0.1001,0.0968,0.0868,0.1192,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.25.log
stable,deg_ood,0.25,-1.0,1,0.5,5,5,True,True,False,0.0806,0.0174,0.0887,0.0074,0.0887,0.0074,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0486,0.0855,0.0984,0.0785,0.0922,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.25.log
stable,sim_deg,0.25,0.3,1,-1.0,5,5,True,True,False,0.0957,0.0074,0.0986,0.0049,0.0986,0.0049,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0839,0.0988,0.1030,0.1022,0.0905,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.25.log
stable,sim_ood,0.25,0.3,-1,0.5,5,5,True,True,False,0.0860,0.0139,0.0920,0.0081,0.0920,0.0081,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0623,0.0959,0.0818,0.0872,0.1030,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.25.log
